"0","Ball stop enough decade","349.55","false"
"1","Able where","355.94","true"
"2","Authority prepare yes","57.72","false"
"3","Apply spring blood response","192.26","false"
"4","Charge lead music","383.15","true"
"5","Such language company sea television","80.76","true"
"6","Job successful animal","287.09","false"
"7","Until say least","411.88","false"
"8","Hotel thank","109.74","false"
"9","Truth become build","206.95","true"
"10","Address guy month","289.03","false"
"11","Case case","38.57","false"
"12","Whose worry close","362.87","false"
"13","Take reach","164.91","false"
"14","Water nature boy reach","122.24","false"
"15","Understand others baby dream","149.91","false"
"16","Important social artist","200.35","true"
"17","Bill both after analysis","492.49","true"
"18","Behind successful of why","105.31","true"
"19","Authority probably","111.99","true"
"20","Task much region give","341.91","true"
"21","Home order indicate force","77.00","true"
"22","I within candidate","434.99","false"
"23","Professional positive must","22.53","false"
"24","Theory increase concern","334.30","false"
"25","Push first crime onto","419.48","true"
"26","Show take no pick","126.95","false"
"27","Song onto","185.41","false"
"28","Important school kind consumer beat","187.86","false"
"29","Some although middle","352.81","true"
"30","Teach note word be","484.35","true"
"31","Whatever ten far available","39.76","true"
"32","Build assume each argue no","172.88","true"
"33","Skin sense","423.22","false"
"34","Employee listen require","125.89","true"
"35","Degree crime management","130.01","true"
"36","Discover through feel","126.41","true"
"37","Beat trouble matter spend beat","119.85","false"
"38","Always address successful","157.33","false"
"39","Thousand career professor ready","328.14","false"
"40","Group now bill know","447.54","true"
"41","Bit knowledge coach owner","290.52","true"
"42","Claim up behavior","455.24","false"
"43","Social some man","257.76","true"
"44","Everyone involve never only","144.54","true"
"45","Reveal bad experience","259.83","true"
"46","Wonder until","302.67","true"
"47","Enjoy best","195.85","false"
"48","Language address social","83.45","false"
"49","Deep goal sing","75.83","false"
"50","Management continue force","351.01","true"
"51","Stand baby just","273.30","false"
"52","Language Mrs raise","54.54","false"
"53","Official up material country continue","15.55","true"
"54","Or box citizen former","153.67","true"
"55","Career including control reason amount","156.98","true"
"56","Top just mind","272.99","true"
"57","Walk actually continue number imagine","66.57","false"
"58","Meet small road wind","343.93","false"
"59","Become assume police sister","331.10","true"
"60","That his hotel require","96.43","false"
"61","Firm card","150.73","true"
"62","Argue cold ever","206.77","false"
"63","Response cultural lot player","165.22","true"
"64","Challenge event today","372.65","false"
"65","Information least imagine","211.11","true"
"66","Final discover success","351.81","true"
"67","Throughout commercial interest","371.79","true"
"68","Admit allow reduce","141.35","false"
"69","Will cup base feel Mrs","342.02","false"
"70","As mother director much land","245.70","false"
"71","Officer down single southern name","280.06","true"
"72","International trouble","476.61","true"
"73","Follow join","302.26","false"
"74","Statement number everyone peace can","145.24","true"
"75","Yourself near receive","191.86","true"
"76","Huge wall house","196.38","true"
"77","Director herself true","88.41","true"
"78","Article husband including down head","83.62","true"
"79","Simply to miss light after","436.67","true"
"80","Deal material interview together","31.59","true"
"81","Would magazine author","197.73","true"
"82","The shake federal","154.67","true"
"83","Result interesting","381.48","true"
"84","Go up town","133.88","true"
"85","Be certainly property mean","27.36","true"
"86","Significant international","304.08","false"
"87","New and rich attack serve","98.08","false"
"88","Oil official station those fish","360.49","true"
"89","Movie health Republican we","445.00","false"
"90","Eat price wife","112.71","true"
"91","Policy doctor the","422.14","true"
"92","Candidate best small hold still","339.25","false"
"93","Cultural at care share","399.07","false"
"94","Television money student","281.79","false"
"95","Report nearly help them","367.09","true"
"96","Attack from attention including","141.92","false"
"97","Final mention one","29.66","false"
"98","Character court its property trade","353.26","false"
"99","Successful upon TV police officer","382.20","false"
"100","Focus close","218.43","false"
"101","Back practice","187.91","false"
"102","Agent record structure one","333.76","false"
"103","Leave world science","359.95","false"
"104","Suffer land lot","158.93","false"
"105","Institution agency which","209.18","false"
"106","Degree cultural rule including","321.97","false"
"107","Same former picture western","1.98","true"
"108","Position inside official hold","295.89","true"
"109","Better even onto story stage","363.47","false"
"110","Guess owner on","63.94","false"
"111","Else wish peace know","122.24","true"
"112","Red about perhaps green","379.07","false"
"113","Claim Mr force","315.10","false"
"114","Always follow","58.13","false"
"115","Tree visit here give","308.73","true"
"116","Play crime produce","280.00","false"
"117","Shake agree","2.09","true"
"118","Leave speak behind student","81.70","false"
"119","Yes hard clear","450.59","true"
"120","His performance watch sign","444.74","true"
"121","Occur surface","225.20","true"
"122","Analysis health business","212.63","true"
"123","Cover thank","90.58","true"
"124","Individual carry pick room","71.89","false"
"125","Buy movement","363.31","true"
"126","Professor show","464.05","false"
"127","Half firm fish","301.06","false"
"128","Often usually","350.75","false"
"129","Check condition maintain strategy","69.05","true"
"130","Girl sure fund","136.74","false"
"131","Position fish admit","336.60","false"
"132","Quite crime administration","250.98","false"
"133","Account have south thank","331.71","true"
"134","Cover since various computer","130.12","false"
"135","Nice care scene","233.52","false"
"136","Use still successful south","372.11","false"
"137","Film marriage write in","206.60","false"
"138","Allow example model","463.40","false"
"139","Majority past camera almost","361.13","false"
"140","Able discuss beyond","197.53","false"
"141","Single address","147.71","true"
"142","Star member","136.19","true"
"143","Down sit base","453.28","false"
"144","Age series","387.45","false"
"145","Possible theory let pattern","311.00","true"
"146","Design whether available everyone","405.14","false"
"147","Question religious herself bill","208.06","true"
"148","From race street perform","123.80","true"
"149","Tv direction job","441.81","false"
"150","Poor list TV subject","338.48","false"
"151","Any turn blue college receive","395.96","false"
"152","Reduce find beat","233.81","true"
"153","Reflect stage visit","426.81","true"
"154","Charge recognize home create","249.47","true"
"155","Set special","13.52","false"
"156","What sign memory","278.71","true"
"157","Government society at","177.04","true"
"158","Position story sense painting","33.65","true"
"159","Figure home officer son walk","202.52","true"
"160","Street six price sort","253.99","true"
"161","Attention natural","285.34","false"
"162","Control local even","137.95","false"
"163","Pick very","413.65","false"
"164","Partner better turn factor","112.56","true"
"165","Material person cultural","221.32","true"
"166","Of perform something","339.97","false"
"167","Agreement former phone","246.51","true"
"168","All key develop suddenly","276.91","true"
"169","Accept popular line stage","110.65","false"
"170","Moment thus bar smile","450.31","true"
"171","Middle camera program","299.93","true"
"172","American case power teacher","261.40","false"
"173","Let party explain big list","483.95","true"
"174","Best mention","264.74","true"
"175","Four into lay game huge","247.98","true"
"176","Top road season course","65.19","false"
